New York Mets (3), Kansas City Royals (4)
St. Louis Cardinals (1), Pittsburgh Pirates (4)
Toronto Blue Jays (5), Tampa Bay Rays (3)
Chicago Cubs (9), LA Angels of Anaheim (0)
Colorado Rockies (10), Arizona D'Backs (5)
Washington Nationals (4), Atlanta Braves (3)
Minnesota Twins (2), Baltimore Orioles (3)
Philadelphia Phillies (2), Cincinnati Reds (6)
San Francisco Giants (12), Milwaukee Brewers (3)
Chicago White Sox (4), Oakland Athletics (3)
Los Angeles Dodgers (15), San Diego Padres (0)
Toronto Blue Jays (5), Tampa Bay Rays (3)
Seattle Mariners (2), Texas Rangers (3)
Chicago Cubs (6), LA Angels of Anaheim (1)
Colorado Rockies (6), Arizona D'Backs (11)
Boston Red Sox (6), Cleveland Indians (2)
New York Mets (2), Kansas City Royals (0)
Detroit Tigers (8), Miami Marlins (7)
San Francisco Giants (2), Milwaukee Brewers (1)
Houston Astros (5), New York Yankees (3)
Chicago White Sox (5), Oakland Athletics (4)
St. Louis Cardinals (5), Pittsburgh Pirates (6)
Los Angeles Dodgers (3), San Diego Padres (0)
Toronto Blue Jays (2), Tampa Bay Rays (3)
Seattle Mariners (10), Texas Rangers (2)
Colorado Rockies (4), Arizona D'Backs (3)
Washington Nationals (3), Atlanta Braves (1)
Minnesota Twins (2), Baltimore Orioles (4)
Philadelphia Phillies (2), Cincinnati Reds (3)
Boston Red Sox (6), Cleveland Indians (7)
Detroit Tigers (7), Miami Marlins (3)
San Francisco Giants (3), Milwaukee Brewers (4)
Houston Astros (6), New York Yankees (16)
Chicago White Sox (1), Oakland Athletics (2)
St. Louis Cardinals (1), Pittsburgh Pirates (5)
Los Angeles Dodgers (7), San Diego Padres (0)
Toronto Blue Jays (3), Tampa Bay Rays (5)
Seattle Mariners (9), Texas Rangers (5)
Texas Rangers (3), LA Angels of Anaheim (4)
Chicago Cubs (14), Arizona D'Backs (6)
Minnesota Twins (2), Baltimore Orioles (4)
Philadelphia Phillies (6), Cincinnati Reds (10)
Houston Astros (5), New York Yankees (8)
Chicago White Sox (6), Oakland Athletics (1)
Los Angeles Dodgers (6), San Francisco Giants (12)
Miami Marlins (6), Washington Nationals (4)
Texas Rangers (7), LA Angels of Anaheim (3)
Chicago Cubs (2), Arizona D'Backs (3)
St. Louis Cardinals (7), Atlanta Braves (4)
Tampa Bay Rays (1), Baltimore Orioles (6)
Cleveland Indians (7), Chicago White Sox (1)
Pittsburgh Pirates (6), Cincinnati Reds (5)
San Diego Padres (13), Colorado Rockies (6)
New York Yankees (0), Detroit Tigers (4)
Minnesota Twins (3), Kansas City Royals (4)
Houston Astros (4), Milwaukee Brewers (6)
Philadelphia Phillies (2), New York Mets (7)
Oakland Athletics (3), Seattle Mariners (2)
Los Angeles Dodgers (2), San Francisco Giants (3)
Boston Red Sox (8), Toronto Blue Jays (7)
Texas Rangers (4), LA Angels of Anaheim (1)
Chicago Cubs (4), Arizona D'Backs (2)
St. Louis Cardinals (12), Atlanta Braves (2)
Cleveland Indians (3), Chicago White Sox (7)
Pittsburgh Pirates (1), Cincinnati Reds (5)
San Diego Padres (16), Colorado Rockies (3)
New York Yankees (8), Detroit Tigers (4)
Minnesota Twins (0), Kansas City Royals (7)
Houston Astros (6), Milwaukee Brewers (4)
Philadelphia Phillies (1), New York Mets (0)
Oakland Athletics (6), Seattle Mariners (1)
Los Angeles Dodgers (3), San Francisco Giants (2)
Boston Red Sox (8), Toronto Blue Jays (4)
Texas Rangers (1), LA Angels of Anaheim (3)
Chicago Cubs (7), Arizona D'Backs (3)
St. Louis Cardinals (12), Atlanta Braves (7)
Tampa Bay Rays (3), Baltimore Orioles (5)
Pittsburgh Pirates (1), Cincinnati Reds (2)
San Diego Padres (3), Colorado Rockies (6)
Minnesota Twins (3), Kansas City Royals (4)
Houston Astros (2), Milwaukee Brewers (3)
Philadelphia Phillies (5), New York Mets (2)
Oakland Athletics (2), Seattle Mariners (1)
Los Angeles Dodgers (6), San Francisco Giants (9)
Boston Red Sox (0), Toronto Blue Jays (3)
Miami Marlins (2), Washington Nationals (4)
Baltimore Orioles (9), Boston Red Sox (7)
Cincinnati Reds (3), Chicago Cubs (5)
Pittsburgh Pirates (7), Detroit Tigers (4)
Kansas City Royals (2), Houston Astros (8)
Chicago White Sox (4), Minnesota Twins (1)
Miami Marlins (10), New York Mets (3)
LA Angels of Anaheim (4), Oakland Athletics (1)
San Diego Padres (4), Philadelphia Phillies (3)
Texas Rangers (7), Seattle Mariners (3)
Milwaukee Brewers (1), St. Louis Cardinals (10)
Atlanta Braves (4), Washington Nationals (6)
Baltimore Orioles (9), Boston Red Sox (5)
San Francisco Giants (7), Colorado Rockies (2)
Pittsburgh Pirates (2), Detroit Tigers (8)
Kansas City Royals (3), Houston Astros (2)
Arizona D'Backs (4), Los Angeles Dodgers (2)
Miami Marlins (2), New York Mets (1)
LA Angels of Anaheim (5), Oakland Athletics (4)
San Diego Padres (0), Philadelphia Phillies (3)
Texas Rangers (8), Seattle Mariners (0)
Cleveland Indians (1), Tampa Bay Rays (5)
New York Yankees (3), Toronto Blue Jays (2)
Atlanta Braves (1), Washington Nationals (2)
Baltimore Orioles (2), Boston Red Sox (4)
Cincinnati Reds (2), Chicago Cubs (9)
San Francisco Giants (6), Colorado Rockies (10)
Kansas City Royals (4), Houston Astros (2)
Arizona D'Backs (1), Los Angeles Dodgers (3)
Chicago White Sox (3), Minnesota Twins (0)
Miami Marlins (1), New York Mets (2)
LA Angels of Anaheim (5), Oakland Athletics (1)
San Diego Padres (1), Philadelphia Phillies (2)
Detroit Tigers (7), Pittsburgh Pirates (3)
Texas Rangers (2), Seattle Mariners (4)
Milwaukee Brewers (6), St. Louis Cardinals (4)
